County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,Student Group,GradeLevel,DisciplineDenominator,DisciplineNumerator,DisciplineRate
Lincoln,"22,204",Harrington School District,"3,113",Harrington High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clark,"6,117",Camas School District,"5,104",Hayes Freedom High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
King,"17,403",Renton School District,"3,630",Hazen Senior High School,P,All Students,12th Grade,439,9,2.10%
Pierce,"27,401",Peninsula School District,"1,516",Henderson Bay Alt High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Clark,"6,114",Evergreen School District (Clark),"5,310",Henrietta Lacks Health and Bioscience High School,P,All Students,12th Grade,139,3,2.20%
Snohomish,"31,002",Everett School District,"4,438",Henry M. Jackson High School,P,All Students,12th Grade,552,11,2.00%
Clark,"6,114",Evergreen School District (Clark),"4,523",Heritage High School,P,All Students,12th Grade,482,16,3.30%
Snohomish,"31,025",Marysville School District,"1,657",Heritage School,P,All Students,12th Grade,26,3,11.50%
Snohomish,"31,201",Snohomish School District,"3,981",High School Re Entry,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Yakima,"39,203",Highland School District,"4,559",Highland High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Okanogan,"24,019",Omak School District,"4,279",Highlands High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,401",Highline School District,"2,325",Highline High School,P,All Students,12th Grade,316,8,2.50%
King,"17,401",Highline School District,"5,371",Highline Home School Center,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,401",Highline School District,"5,370",Highline Open Doors 1418,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Clark,"6,098",Hockinson School District,"4,568",Hockinson High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Pend Oreille,"26,059",Cusick School District,"5,538",Home Pride,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Island,"15,201",Oak Harbor School District,"1,758",Homeconnection,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,004",Lake Stevens School District,"1,753",Homelink,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Clark,"6,119",Battle Ground School District,"1,875",Homelink River,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Grays Harbor,"14,028",Hoquiam School District,"3,622",Hoquiam High School,P,All Students,12th Grade,121,6,5.00%
Grays Harbor,"14,028",Hoquiam School District,"5,191",Hoquiam Homelink School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Clark,"6,037",Vancouver School District,"3,081",Hudson's Bay High School,P,All Students,12th Grade,258,10,3.90%
Island,"15,201",Oak Harbor School District,"5,343",iGrad Academy,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pacific,"25,101",Ocean Beach School District,"4,220",Ilwaco High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Whatcom,"37,504",Lynden School District,"5,466",IMPACT Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Ferry,"10,070",Inchelium School District,"2,603",Inchelium High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,416",Riverside School District,"1,919",Independent Scholar,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,415",Kent School District,"5,275",Individualized Graduation & Degree Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Pierce,"27,010",Tacoma School District,"5,458",Industrial Design Engineering and Art,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,417",Northshore School District,"3,492",Inglemoor HS,P,All Students,12th Grade,451,14,3.10%
King,"17,001",Seattle School District #1,"3,276",Ingraham High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Clallam,"5,402",Quillayute Valley School District,"5,529",Insight School of WA Open Doors Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clallam,"5,402",Quillayute Valley School District,"5,071",Insight School of Washington,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,001",Seattle School District #1,"3,496",Interagency Detention School,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
King,"17,001",Seattle School District #1,"5,405",Interagency Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
King,"17,001",Seattle School District #1,"1,635",Interagency Programs,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,405",Bellevue School District,"3,588",Interlake Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,414",Lake Washington School District,"1,706",International Community School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
King,"17,405",Bellevue School District,"3,522",International School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
King,"17,210",Federal Way School District,"1,759",Internet Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Island,"15,204",Coupeville School District,"5,059",Island Juvenile Detention Education Program,J,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,411",Issaquah School District,"3,385",Issaquah High School,P,All Students,12th Grade,613,9,1.50%
King,"17,411",Issaquah School District,"1,624",Issaquah Special Services,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grays Harbor,"14,005",Aberdeen School District,"3,476",J M Weatherwax High School,P,All Students,12th Grade,244,11,4.50%
Mason,"23,403",North Mason School District,"1,680",James A. Taylor High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Stevens,"33,036",Chewelah School District,"2,404",Jenkins Junior/Senior High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
King,"17,414",Lake Washington School District,"3,771",Juanita High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Yakima,"39,007",Yakima School District,"4,092",Juvenile Detention Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Kittitas,"19,401",Ellensburg School District,"5,097",K-12 Ellensburg Learning Center,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Franklin,"11,056",Kahlotus School District,"3,214",Kahlotus Elem & High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Cowlitz,"8,402",Kalama School District,"5,545",Kalama High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Snohomish,"31,006",Mukilteo School District,"4,433",Kamiak High School,P,All Students,12th Grade,512,16,3.10%
Benton,"3,017",Kennewick School District,"3,731",Kamiakin High School,P,All Students,12th Grade,468,8,1.70%
Cowlitz,"8,458",Kelso School District,"5,547",Kelso Goal Oriented Learning Design,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Cowlitz,"8,458",Kelso School District,"2,266",Kelso High School,P,All Students,12th Grade,479,14,2.90%
Cowlitz,"8,458",Kelso School District,"5,194",Kelso Virtual Academy,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Benton,"3,017",Kennewick School District,"2,826",Kennewick High School,P,All Students,12th Grade,382,19,5.00%
King,"17,415",Kent School District,"3,014",Kent Mountain View Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
King,"17,415",Kent School District,"5,098",Kent Phoenix Academy,A,All Students,12th Grade,156,9,5.80%
King,"17,415",Kent School District,"4,492",Kentlake High School,P,All Students,12th Grade,382,12,3.10%
King,"17,415",Kent School District,"2,797",Kent-Meridian High School,P,All Students,12th Grade,500,9,1.80%
King,"17,415",Kent School District,"3,640",Kentridge High School,P,All Students,12th Grade,549,7,1.30%
King,"17,415",Kent School District,"4,128",Kentwood High School,P,All Students,12th Grade,486,6,1.20%
Stevens,"33,212",Kettle Falls School District,"4,206",Kettle Falls High School,P,All Students,12th Grade,50,5,10.00%
Kitsap,"18,400",North Kitsap School District,"5,085",Kingston High School,P,All Students,12th Grade,210,13,6.20%
Benton,"3,052",Kiona-Benton City School District,"2,904",Kiona-Benton City High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Kitsap,"18,801",ESD 114 acting as a school district,"3,481",Kitsap Co Detention Ctr,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Kittitas,"19,403",Kittitas School District,"2,766",Kittitas High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Kitsap,"18,401",Central Kitsap School District,"4,509",Klahowya Secondary,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Klickitat,"20,402",Klickitat School District,"3,494",Klickitat Elem & High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Clark,"6,101",La Center School District,"4,431",La Center High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Clark,"6,101",La Center School District,"5,326",La Center Home School Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Skagit,"29,311",La Conner School District,"2,276",La Conner High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Whitman,"38,126",LaCrosse School District,"2,088",Lacrosse High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grant,"13,301",Grand Coulee Dam School District,"2,801",Lake Roosevelt Jr/Sr High School,P,All Students,12th Grade,56,4,7.10%
Grays Harbor,"14,097",Lake Quinault School District,"2,921",Lake Quinault School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grant,"13,301",Grand Coulee Dam School District,"5,336",Lake Roosevelt Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,004",Lake Stevens School District,"2,426",Lake Stevens Sr High School,P,All Students,12th Grade,721,36,5.00%
King,"17,414",Lake Washington School District,"2,739",Lake Washington High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,937",Lake Washington Institute of Technology,"5,953",Lake Washington Technical Academy,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Pierce,"27,400",Clover Park School District,"3,456",Lakes High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,4.30%
Spokane,"32,325",Nine Mile Falls School District,"4,333",Lakeside High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Snohomish,"31,306",Lakewood School District,"4,204",Lakewood High School,P,All Students,12th Grade,173,5,2.90%
Snohomish,"31,103",Monroe School District,"1,806",Leaders In Learning,A,All Students,12th Grade,49,5,10.20%
Clark,"6,114",Evergreen School District (Clark),"4,042",Legacy High School,A,All Students,12th Grade,125,3,2.40%
Benton,"3,017",Kennewick School District,"1,884",Legacy High School,A,All Students,12th Grade,176,4,2.30%
Snohomish,"31,025",Marysville School District,"1,927",Legacy High School,P,All Students,12th Grade,100,8,8.00%
Spokane,"32,081",Spokane School District,"2,172",Lewis & Clark High School,P,All Students,12th Grade,486,11,2.30%
Clark,"6,037",Vancouver School District,"3,932",Lewis and Clark High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Lewis,"21,302",Chehalis School District,"5,369",Lewis County Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Lewis,"21,302",Chehalis School District,"5,317",Lewis County Jail,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Lewis,"21,302",Chehalis School District,"1,559",Lewis County Juvenile Detention,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Okanogan,"24,350",Methow Valley School District,"2,146",Liberty Bell Jr Sr High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Spokane,"32,362",Liberty School District,"3,416",Liberty High School,P,All Students,12th Grade,49,3,6.10%
King,"17,411",Issaquah School District,"3,962",Liberty Sr High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,1.50%
Pierce,"27,010",Tacoma School District,"2,215",Lincoln,P,All Students,12th Grade,354,23,6.50%
Clallam,"5,121",Port Angeles School District,"4,003",Lincoln High School,A,All Students,12th Grade,43,4,9.30%
Walla Walla,"36,140",Walla Walla Public Schools,"4,071",Lincoln High School,A,All Students,12th Grade,47,10,21.30%
Snohomish,"31,401",Stanwood-Camano School District,"1,707",Lincoln Hill High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
King,"17,403",Renton School District,"3,741",Lindbergh Senior High School,P,All Students,12th Grade,307,10,3.30%
Adams,"1,158",Lind School District,"2,903",Lind-Ritzville High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Cowlitz,"8,458",Kelso School District,"1,934",Loowit High School,A,All Students,12th Grade,14,2,14.30%
San Juan,"28,144",Lopez School District,"2,632",Lopez Middle High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Whatcom,"37,903",Lummi Tribal Agency,"5,373",Lummi Nation School,Q,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Klickitat,"20,406",Lyle School District,"3,111",Lyle High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Whatcom,"37,504",Lynden School District,"4,201",Lynden High School,P,All Students,12th Grade,269,7,2.60%
Whatcom,"37,504",Lynden School District,"1,983",Lynden Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,015",Edmonds School District,"3,755",Lynnwood High School,P,All Students,12th Grade,359,13,3.60%
Yakima,"39,120",Mabton School District,"5,289",Mabton Jr. Sr. High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Douglas,"9,207",Mansfield School District,"2,233",Mansfield Elem and High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Cowlitz,"8,122",Longview School District,"3,151",Mark Morris High School,P,All Students,12th Grade,214,11,5.10%
Chelan,"4,019",Manson School District,"2,623",Manson High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Snohomish,"31,006",Mukilteo School District,"3,688",Mariner High School,P,All Students,12th Grade,560,22,3.90%
Spokane,"32,801",ESD 101 acting as a school district,"3,352",Martin Hall Detention Ctr,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Mason,"23,311",Mary M Knight School District,"5,444",Mary M. Knight School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Stevens,"33,207",Mary Walker School District,"3,311",Mary Walker High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Stevens,"33,207",Mary Walker School District,"5,446",Mary Walker Promise,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Snohomish,"31,025",Marysville School District,"5,478",Marysville Getchell High School,P,All Students,12th Grade,424,6,1.40%
Snohomish,"31,025",Marysville School District,"5,402",Marysville NWESD 189 Youth Engagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Snohomish,"31,025",Marysville School District,"5,213",Marysville Pilchuck High School,P,All Students,12th Grade,280,18,6.40%
Snohomish,"31,025",Marysville School District,"1,910",Marysville SD Special,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Mason,"23,309",Shelton School District,"1,888",Mason County Detention Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Spokane,"32,354",Mead School District,"1,803",Mead Alternative High School (Closed after 2018-2019 school year),A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Spokane,"32,354",Mead School District,"1,858",Mead Education Partnership Prog,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Spokane,"32,354",Mead School District,"5,401",Mead Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,354",Mead School District,"2,402",Mead Senior High School,P,All Students,12th Grade,457,13,2.80%
Snohomish,"31,015",Edmonds School District,"3,464",Meadowdale High School,P,All Students,12th Grade,377,6,1.60%
Spokane,"32,326",Medical Lake School District,"5,042",Medical Lake Endeavors,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,326",Medical Lake School District,"2,890",Medical Lake High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
King,"17,400",Mercer Island School District,"3,029",Mercer Island High School,P,All Students,12th Grade,407,6,1.50%
Whatcom,"37,505",Meridian School District,"2,554",Meridian High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Whatcom,"37,505",Meridian School District,"5,448",Meridian Impact Re-Engagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Okanogan,"24,350",Methow Valley School District,"1,621",Methow Valley Independent  L C,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Spokane,"32,356",Central Valley School District,"3,918",Mica Peak High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Benton,"3,017",Kennewick School District,"1,941",Mid-Columbia Parent Partnership,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,001",Seattle School District #1,"1,547",Middle College High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Snohomish,"31,103",Monroe School District,"4,528",Monroe High School,P,All Students,12th Grade,446,14,3.10%
Grays Harbor,"14,066",Montesano School District,"2,180",Montesano Jr-Sr High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Lewis,"21,214",Morton School District,"3,112",Morton Junior-Senior High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grant,"13,161",Moses Lake School District,"3,215",Moses Lake High School,P,All Students,12th Grade,556,16,2.90%
Lewis,"21,206",Mossyrock School District,"5,415",Mossyrock Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Lewis,"21,206",Mossyrock School District,"3,238",Mossyrock Jr./Sr. High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Whatcom,"37,507",Mount Baker School District,"2,343",Mount Baker Senior High,P,All Students,12th Grade,160,5,3.10%
King,"17,401",Highline School District,"3,279",Mount Rainier High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,410",Snoqualmie Valley School District,"2,850",Mount Si High School,P,All Students,12th Grade,474,10,2.10%
Skagit,"29,320",Mount Vernon School District,"2,295",Mount Vernon High School,P,All Students,12th Grade,536,14,2.60%
Skagit,"29,320",Mount Vernon School District,"5,449",Mount Vernon Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Skagit,"29,320",Mount Vernon School District,"3,829",Mount Vernon Special Ed,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clark,"6,114",Evergreen School District (Clark),"4,162",Mountain View High School,P,All Students,12th Grade,530,10,1.90%
Snohomish,"31,015",Edmonds School District,"3,303",Mountlake Terrace High School,P,All Students,12th Grade,326,7,2.10%
Spokane,"32,354",Mead School District,"4,491",Mt Spokane High School,P,All Students,12th Grade,409,6,1.50%
Pierce,"27,010",Tacoma School District,"3,398",Mt Tahoma,P,All Students,12th Grade,344,22,6.40%
King,"17,903",Muckleshoot Indian Tribe,"1,986",Muckleshoot Tribal School,Q,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Snohomish,"31,006",Mukilteo School District,"5,498",Mukilteo Reengagement Academy Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Yakima,"39,003",Naches Valley School District,"2,591",Naches Valley High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Lewis,"21,014",Napavine School District,"2,273",Napavine Jr Sr High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Pacific,"25,155",Naselle-Grays River Valley School District,"3,599",Naselle Youth Camp School,I,All Students,12th Grade,127,15,11.80%
Pacific,"25,155",Naselle-Grays River Valley School District,"3,295",Naselle-Grays River Valley Jr Sr High Schools,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,001",Seattle School District #1,"3,479",Nathan Hale High School,P,All Students,12th Grade,301,9,3.00%
Clallam,"5,401",Cape Flattery School District,"3,145",Neah Bay Junior/ Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Franklin,"11,001",Pasco School District,"3,912",New Horizons High School,A,All Students,12th Grade,301,26,8.60%
Thurston,"34,033",Tumwater School District,"5,014",New Market High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Thurston,"34,033",Tumwater School District,"4,225",New Market Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
King,"17,401",Highline School District,"1,972",New Start,A,All Students,12th Grade,91,11,12.10%
Spokane,"32,801",ESD 101 acting as a school district,"5,434",NEWESD 101 Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Pend Oreille,"26,056",Newport School District,"2,518",Newport High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
King,"17,405",Bellevue School District,"3,486",Newport Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,414",Lake Washington School District,"5,265","Nikola Tesla Science, Technology, Engineering, and Math High School",A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Whatcom,"37,506",Nooksack Valley School District,"2,459",Nooksack Valley High School,P,All Students,12th Grade,120,4,3.30%
Grays Harbor,"14,064",North Beach School District No. 64,"2,728",North Beach Senior High School,P,All Students,12th Grade,52,5,9.60%
Spokane,"32,081",Spokane School District,"2,106",North Central High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,417",Northshore School District,"5,481",North Creek High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Kitsap,"18,400",North Kitsap School District,"3,236",North Kitsap High School,P,All Students,12th Grade,325,7,2.20%
Mason,"23,403",North Mason School District,"1,861",North Mason Homelink Program,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Mason,"23,403",North Mason School District,"3,175",North Mason Senior High School,P,All Students,12th Grade,200,10,5.00%
Pacific,"25,200",North River School District,"2,292",North River School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Thurston,"34,003",North Thurston Public Schools,"3,010",North Thurston High School,P,All Students,12th Grade,357,11,3.10%
Stevens,"33,211",Northport School District,"2,958",Northport High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,12.50%
Stevens,"33,211",Northport School District,"5,252",Northport Homelink Program,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,417",Northshore School District,"1,814",Northshore Networks,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Pierce,"27,010",Tacoma School District,"4,109",Oakland High School,A,All Students,12th Grade,76,9,11.80%
King,"17,417",Northshore School District,"5,331",Northshore Online Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
King,"17,417",Northshore School District,"1,815",Northshore Special Services,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Yakima,"39,202",Toppenish School District,"5,262",Northwest Allprep,Z,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Skagit,"29,320",Mount Vernon School District,"5,960",Northwest Career & Technical Academy/A Washington State Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Pierce,"27,932",Clover Park Technical College,"5,951",Northwest Career and Technical High School,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,001",Seattle School District #1,"3,868",Nova High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Island,"15,201",Oak Harbor School District,"2,974",Oak Harbor High School,P,All Students,12th Grade,420,7,1.70%
Whitman,"38,324",Oakesdale School District,"2,432",Oakesdale High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,400",Clover Park School District,"5,298",Oakridge Group Home,I,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grays Harbor,"14,400",Oakville School District,"2,283",Oakville High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
San Juan,"28,137",Orcas Island School District,"1,892",OASIS K-12,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Jefferson,"16,050",Port Townsend School District,"1,798",OCEAN,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pacific,"25,101",Ocean Beach School District,"5,454",Ocean Beach Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grays Harbor,"14,172",Ocosta School District,"3,024",Ocosta Junior - Senior High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Lincoln,"22,105",Odessa School District,"2,443",Odessa High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Okanogan,"24,105",Okanogan School District,"1,980",Okanogan Alternative High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Okanogan,"24,105",Okanogan School District,"3,193",Okanogan Co Juvenile Detention,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Okanogan,"24,105",Okanogan School District,"2,246",Okanogan High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Okanogan,"24,105",Okanogan School District,"5,151",Okanogan Outreach Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Thurston,"34,111",Olympia School District,"3,132",Olympia High School,P,All Students,12th Grade,501,6,1.20%
Thurston,"34,111",Olympia School District,"5,078",Olympia Regional Learning Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Kitsap,"18,401",Central Kitsap School District,"4,100",Olympic High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Clallam,"5,323",Sequim School District,"1,708",Olympic Peninsula Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Okanogan,"24,019",Omak School District,"2,031",Omak High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Spokane,"32,081",Spokane School District,"5,250",On Track Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Lewis,"21,300",Onalaska School District,"2,331",Onalaska High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Yakima,"39,207",Wapato School District,"4,022",Pace Alternative High School,A,All Students,12th Grade,37,5,13.50%
Island,"15,204",Coupeville School District,"5,412",Open Den,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
King,"17,403",Renton School District,"5,335",Open Door Youth Reengagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Spokane,"32,081",Spokane School District,"5,344",Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Clark,"6,037",Vancouver School District,"5,342",Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Skagit,"29,801",ESD 189 acting as a school district,"5,501",Open Doors - Youth Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
King,"17,937",Lake Washington Institute of Technology,"5,306",Open Doors at LWIT,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Clark,"6,119",Battle Ground School District,"5,360",Open Doors Battle Ground,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Clark,"6,114",Evergreen School District (Clark),"5,435",Open Doors Evergreen,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Chelan,"4,246",Wenatchee School District,"5,316",Open Doors Re-Engagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Jefferson,"16,049",Chimacum School District,"5,397",Open Doors Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,311",Sultan School District,"5,329",Open Doors Youth Reengagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,210",Federal Way School District,"5,348",Open Doors Youth Reengagement (1418),R,All Students,12th Grade,391,4,1.00%
Whatcom,"37,501",Bellingham School District,"1,647",Options High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
San Juan,"28,137",Orcas Island School District,"2,750",Orcas Island High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
